FACIAL_L_Forehead3 9838
FACIAL_R_Forehead3 15832
FACIAL_C_12IPV_Forehead1 2948
FACIAL_L_12IPV_Forehead1 10199
FACIAL_R_12IPV_Forehead1 16200
FACIAL_C_12IPV_Forehead2 16176
FACIAL_L_12IPV_Forehead2 23006
FACIAL_R_12IPV_Forehead2 19993
FACIAL_C_12IPV_Forehead3 2946
FACIAL_L_12IPV_Forehead3 10136
FACIAL_R_12IPV_Forehead3 16135
FACIAL_C_12IPV_Forehead4 2944
FACIAL_L_12IPV_Forehead4 10046
FACIAL_R_12IPV_Forehead4 16043
FACIAL_C_12IPV_Forehead5 16044
FACIAL_L_12IPV_Forehead5 22942
FACIAL_R_12IPV_Forehead5 19929
FACIAL_C_12IPV_Forehead6 2942
FACIAL_L_12IPV_Forehead6 9840
FACIAL_R_12IPV_Forehead6 15830
FACIAL_L_ForeheadInA1 10134
FACIAL_L_ForeheadInA2 10044
FACIAL_L_ForeheadInA3 22832
FACIAL_L_ForeheadInB1 10105
FACIAL_L_ForeheadInB2 10020
FACIAL_L_12IPV_ForeheadIn1 5214
FACIAL_L_12IPV_ForeheadIn2 10135
FACIAL_L_12IPV_ForeheadIn3 5177
FACIAL_L_12IPV_ForeheadIn4 10045
FACIAL_L_12IPV_ForeheadIn5 10178
FACIAL_L_12IPV_ForeheadIn6 22965
FACIAL_L_12IPV_ForeheadIn7 10052
FACIAL_L_12IPV_ForeheadIn8 22922
FACIAL_L_12IPV_ForeheadIn9 10182
FACIAL_L_12IPV_ForeheadIn10 22970
FACIAL_L_12IPV_ForeheadIn11 10065
FACIAL_L_12IPV_ForeheadIn12 22927
FACIAL_L_12IPV_ForeheadIn13 22831
FACIAL_L_12IPV_ForeheadIn14 22849
FACIAL_R_ForeheadInA1 16133
FACIAL_R_ForeheadInA2 16041
FACIAL_R_ForeheadInA3 19819
FACIAL_R_ForeheadInB1 16102
FACIAL_R_ForeheadInB2 16016
FACIAL_R_12IPV_ForeheadIn1 2143
FACIAL_R_12IPV_ForeheadIn2 16132
FACIAL_R_12IPV_ForeheadIn3 2106
FACIAL_R_12IPV_ForeheadIn5 16180
FACIAL_R_12IPV_ForeheadIn4 16040
FACIAL_R_12IPV_ForeheadIn6 19952
FACIAL_R_12IPV_ForeheadIn7 16049
FACIAL_R_12IPV_ForeheadIn8 19909
FACIAL_R_12IPV_ForeheadIn9 16184
FACIAL_R_12IPV_ForeheadIn10 19957
FACIAL_R_12IPV_ForeheadIn12 19914
FACIAL_R_12IPV_ForeheadIn11 16062
FACIAL_R_12IPV_ForeheadIn13 19818
FACIAL_R_12IPV_ForeheadIn14 19836
FACIAL_L_ForeheadMid1 10098
FACIAL_L_ForeheadMid2 10013
FACIAL_L_12IPV_ForeheadMid15 10219
FACIAL_L_12IPV_ForeheadMid16 22971
FACIAL_L_12IPV_ForeheadMid17 10066
FACIAL_L_12IPV_ForeheadMid18 22928
FACIAL_L_12IPV_ForeheadMid19 10224
FACIAL_L_12IPV_ForeheadMid20 22973
FACIAL_L_12IPV_ForeheadMid21 10071
FACIAL_L_12IPV_ForeheadMid22 22930
FACIAL_R_ForeheadMid1 16095
FACIAL_R_ForeheadMid2 16009
FACIAL_R_12IPV_ForeheadMid15 16221
FACIAL_R_12IPV_ForeheadMid16 19958
FACIAL_R_12IPV_ForeheadMid17 16063
FACIAL_R_12IPV_ForeheadMid18 19915
FACIAL_R_12IPV_ForeheadMid19 16225
FACIAL_R_12IPV_ForeheadMid20 19960
FACIAL_R_12IPV_ForeheadMid21 16067
FACIAL_R_12IPV_ForeheadMid22 19917
FACIAL_L_ForeheadOutA1 10108
FACIAL_L_ForeheadOutA2 22929
FACIAL_L_ForeheadOutB1 10095
FACIAL_L_ForeheadOutB2 22923
FACIAL_L_12IPV_ForeheadOut23 23020
FACIAL_L_12IPV_ForeheadOut24 10068
FACIAL_L_12IPV_ForeheadOut25 22952
FACIAL_L_12IPV_ForeheadOut26 9769
FACIAL_L_12IPV_ForeheadOut27 23017
FACIAL_L_12IPV_ForeheadOut28 10055
FACIAL_L_12IPV_ForeheadOut29 10028
FACIAL_L_12IPV_ForeheadOut30 22809
FACIAL_L_12IPV_ForeheadOut31 5129
FACIAL_L_12IPV_ForeheadOut32 9774
FACIAL_R_ForeheadOutA1 16105
FACIAL_R_ForeheadOutA2 19916
FACIAL_R_ForeheadOutB1 16092
FACIAL_R_ForeheadOutB2 19910
FACIAL_R_12IPV_ForeheadOut23 20007
FACIAL_R_12IPV_ForeheadOut24 16065
FACIAL_R_12IPV_ForeheadOut25 19939
FACIAL_R_12IPV_ForeheadOut26 15761
FACIAL_R_12IPV_ForeheadOut27 20004
FACIAL_R_12IPV_ForeheadOut28 16052
FACIAL_R_12IPV_ForeheadOut29 16025
FACIAL_R_12IPV_ForeheadOut30 19796
FACIAL_R_12IPV_ForeheadOut31 2058
FACIAL_R_12IPV_ForeheadOut32 15768
FACIAL_L_12IPV_EyesackU0 22751
FACIAL_R_12IPV_EyesackU0 19738
FACIAL_L_EyesackUpper1 4972
FACIAL_L_EyesackUpper2 4978
FACIAL_L_EyesackUpper3 4969
FACIAL_R_EyesackUpper1 1901
FACIAL_R_EyesackUpper2 1907
FACIAL_R_EyesackUpper3 1898
FACIAL_L_EyesackUpper4 4983
FACIAL_R_EyesackUpper4 1912
FACIAL_L_EyelidUpperFurrow1 3810
FACIAL_L_EyelidUpperFurrow2 3848
FACIAL_L_EyelidUpperFurrow3 3854
FACIAL_R_EyelidUpperFurrow1 739
FACIAL_R_EyelidUpperFurrow2 777
FACIAL_R_EyelidUpperFurrow3 783
FACIAL_L_EyelidUpperB1 22220
FACIAL_L_EyelidUpperB2 7806
FACIAL_L_EyelidUpperB3 22458
FACIAL_R_EyelidUpperB1 19207
FACIAL_R_EyelidUpperB2 13785
FACIAL_R_EyelidUpperB3 19445
FACIAL_L_EyelidUpperA1 22221
FACIAL_L_EyelashesUpperA1 22221
FACIAL_L_EyelidUpperA2 7816
FACIAL_L_EyelashesUpperA2 7816
FACIAL_L_EyelidUpperA3 22264
FACIAL_L_EyelashesUpperA3 22264
FACIAL_R_EyelidUpperA1 19208
FACIAL_R_EyelashesUpperA1 19208
FACIAL_R_EyelidUpperA2 13793
FACIAL_R_EyelashesUpperA2 13793
FACIAL_R_EyelidUpperA3 19251
FACIAL_R_EyelashesUpperA3 19251
FACIAL_L_EyelidLowerA1 7656
FACIAL_L_EyelidLowerA2 21743
FACIAL_L_EyelidLowerA3 7627
FACIAL_R_EyelidLowerA1 13636
FACIAL_R_EyelidLowerA2 18730
FACIAL_R_EyelidLowerA3 13606
FACIAL_L_EyelidLowerB1 7648
